URL,Page Group,Status,Date Checked,URL Inspection Live Test,Action Taken,Indexing Requested Date,24h Recheck Date,Final Status,Notes,Screenshot Link
https://mc-novatools.com/,Homepage,,,,,,,,,
https://mc-novatools.com/tools/pdf/,Pillar page,,,,,,,,,
https://mc-novatools.com/tools/image/,Pillar page,,,,,,,,,
https://mc-novatools.com/tools/developer/,Pillar page,,,,,,,,,
https://mc-novatools.com/tools/finance/,Pillar page,,,,,,,,,
https://mc-novatools.com/tools/pdf/pdf-to-word/,Priority tool,,,,,,,,,
https://mc-novatools.com/tools/pdf/pdf-to-text/,Priority tool,,,,,,,,,
https://mc-novatools.com/tools/pdf/compress/,Priority tool,,,,,,,,,
https://mc-novatools.com/tools/image/background-remover/,Priority tool,,,,,,,,,
https://mc-novatools.com/tools/image/image-resizer/,Priority tool,,,,,,,,,
https://mc-novatools.com/tools/dev/json-formatter/,Priority tool,,,,,,,,,
https://mc-novatools.com/tools/security/jwt-decoder/,Priority tool,,,,,,,,,
https://mc-novatools.com/tools/security/password-generator/,Priority tool,,,,,,,,,
https://mc-novatools.com/tools/finance/compound-interest/,Priority tool,,,,,,,,,
https://mc-novatools.com/tools/finance/mortgage-refinance/,Priority tool,,,,,,,,,
https://mc-novatools.com/blog/articles/browser-based-tools-vs-desktop-software-privacy-comparison.html,Latest blog post,,,,,,,,,
https://mc-novatools.com/blog/articles/edit-pdf-without-adobe-acrobat-free-methods.html,Latest blog post,,,,,,,,,
https://mc-novatools.com/blog/articles/lazy-loading-images-implementation-guide-2026.html,Latest blog post,,,,,,,,,
https://mc-novatools.com/blog/articles/rule-of-72-estimate-investment-doubling-time.html,Latest blog post,,,,,,,,,
https://mc-novatools.com/blog/articles/understanding-json-web-tokens-structure-security.html,Latest blog post,,,,,,,,,
